################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.5237238548458638E-02 a       117     0     5     1    17
 -2.5790570382355416E-01 a       118     0     5     1    18
  7.2766041336238277E-02 a       119     0     5     1    19
  4.3671515654158471E-02 a       120     0     5     1    20
 -1.6427932666781400E-01 a       121     0     5     1    21
  1.6750838758226894E-01 a       122     0     5     1    22
 -2.8243121642426872E-01 a       123     0     5     1    23
  8.1862367513707096E-02 a       124     0     5     1    24
 -1.9660034803193330E-01 a       125     0     5     1    25
  2.8160731693304044E-02 a       126     0     6     1     1
  8.6577202824199256E-02 a       127     0     6     1     2
 -2.7272903666106613E-01 a       128     0     6     1     3
  1.4143988924573794E-01 a       129     0     6     1     4
 -1.8608885784118642E-01 a       130     0     6     1     5
  1.9400121801482614E-01 a       131     0     6     1     6
 -3.1038609447049503E-01 a       132     0     6     1     7
  3.6119486198821332E-01 a       133     0     6     1     8
  1.5234049948245039E-02 a       134     0     6     1     9
 -7.0325771098396467E-02 a       135     0     6     1    10
  4.1351494996587684E-01 a       136     0     6     1    11
 -1.6540116176359101E-01 a       137     0     6     1    12
  4.3430819174867596E-01 a       138     0     6     1    13
  1.8620141174859656E-01 a       139     0     6     1    14
 -6.3982657407698956E-02 a       140     0     6     1    15
  3.2876322056373192E-01 a       141     0     6     1    16
 -9.6568599841836952E-02 a       142     0     6     1    17
 -2.8720626015322182E-01 a       143     0     6     1    18
 -2.1789719321488529E-01 a       144     0     6     1    19
  1.7495377600738748E-01 a       145     0     6     1    20
  8.0699427045603053E-02 a       146     0     6     1    21
  3.8677959000748530E-01 a       147     0     6     1    22
  1.1039910375165569E-01 a       148     0     6     1    23
 -1.4166829492464048E-01 a       149     0     6     1    24
 -3.9291647053680173E-01 a       150     0     6     1    25
  4.1860151336939555E-01 a       151     0     7     1     1
 -5.3877036963080756E-04 a       152     0     7     1     2
  6.5244003909104981E-02 a       153     0     7     1     3
 -1.2003684471566416E-01 a       154     0     7     1     4
 -2.1504131380959582E-01 a       155     0     7     1     5
  9.7578993233639208E-02 a       156     0     7     1     6
  2.9584936189479538E-01 a       157     0     7     1     7
 -2.1211688469949384E-02 a       158     0     7     1     8
  1.4650527674295880E-01 a       159     0     7     1     9
  1.4021271605785651E-01 a       160     0     7     1    10
 -3.7935122444643454E-01 a       161     0     7     1    11
  2.1190288108153943E-01 a       162     0     7     1    12
  5.3680958472505411E-02 a       163     0     7     1    13
  1.8951459714055180E-01 a       164     0     7     1    14
 -3.0554527609571055E-02 a       165     0     7     1    15
 -1.4135304260142445E-01 a       166     0     7     1    16
 -2.8628395698193326E-01 a       167     0     7     1    17
  1.2903798945787226E-02 a       168     0     7     1    18
 -1.6744008355910552E-02 a       169     0     7     1    19
 -6.1472915443989258E-02 a       170     0     7     1    20
  4.0613019128754002E-01 a       171     0     7     1    21
  3.4581951353604828E-01 a       172     0     7     1    22
 -7.7743491915226337E-02 a       173     0     7     1    23
 -1.4094818646474783E-01 a       174     0     7     1    24
  8.1728890551106700E-02 a       175     0     7     1    25
 -2.7264868565463002E-01 a       176     0     8     1     1
 -1.3188190580730588E-01 a       177     0     8     1     2
  5.4984055214853410E-02 a       178     0     8     1     3
 -2.2744039982505090E-01 a       179     0     8     1     4
  7.3854229428752069E-02 a       180     0     8     1     5
 -2.6257118169518906E-01 a       181     0     8     1     6
 -1.8066905016972579E-01 a       182     0     8     1     7
 -2.3091574247747781E-01 a       183     0     8     1     8
 -1.7867639853951420E-01 a       184     0     8     1     9
 -3.9720907693371044E-01 a       185     0     8     1    10
  1.3426962554923277E-01 a       186     0     8     1    11
 -8.1870344960844749E-02 a       187     0     8     1    12
 -1.1251535774548298E-01 a       188     0     8     1    13
 -3.2026480843509458E-01 a       189     0     8     1    14
 -2.0443104083002822E-01 a       190     0     8     1    15
 -2.5456185596823250E-02 a       191     0     8     1    16
  1.1070602455351673E-01 a       192     0     8     1    17
  1.8957677757778409E-02 a       193     0     8     1    18
 -1.3517107758563712E-01 a       194     0     8     1    19
 -3.7469172438461401E-02 a       195     0     8     1    20
 -3.2122164229270600E-01 a       196     0     8     1    21
 -3.7034535884792963E-01 a       197     0     8     1    22
  2.8076860380833374E-01 a       198     0     8     1    23
 -1.9169524783254847E-02 a       199     0     8     1    24
  1.2218541886225179E-01 a       200     0     8     1    25
 -4.1093305373065762E-02 a       201     0     9     1     1
  5.6799643956614715E-03 a       202     0     9     1     2
 -1.2456968990101061E-03 a       203     0     9     1     3
 -2.5052869958654189E-01 a       204     0     9     1     4
 -1.0773498514462311E-01 a       205     0     9     1     5
 -1.3816300620624763E-01 a       206     0     9     1     6
  1.6732290508053582E-01 a       207     0     9     1     7
 -2.1683663637712325E-01 a       208     0     9     1     8
 -3.5851520906789669E-02 a       209     0     9     1     9
 -5.9313231098804910E-02 a       210     0     9     1    10
 -1.4551547707907128E-01 a       211     0     9     1    11
  1.7070463037344061E-01 a       212     0     9     1    12
 -2.6528538954256908E-01 a       213     0     9     1    13
 -2.5910151240700996E-01 a       214     0     9     1    14
  1.2872722008188503E-01 a       215     0     9     1    15
 -1.3362158441862387E-01 a       216     0     9     1    16
  1.9685855405451405E-01 a       217     0     9     1    17
  2.3384318099039109E-01 a       218     0     9     1    18
 -9.1416171370295701E-02 a       219     0     9     1    19
