################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7417801887323286E-01 a       512     0    21     1    12
 -3.8724773505178622E-01 a       513     0    21     1    13
  1.9377193778086368E-01 a       514     0    21     1    14
  2.6594605878035704E-01 a       515     0    21     1    15
  2.4131061481724156E-01 a       516     0    21     1    16
  4.4174656060030217E-02 a       517     0    21     1    17
 -2.4039654120004555E-02 a       518     0    21     1    18
 -3.5729483738834916E-01 a       519     0    21     1    19
  6.6884931588007901E-02 a       520     0    21     1    20
 -2.2574814520201109E-01 a       521     0    21     1    21
  7.3062312726033266E-02 a       522     0    21     1    22
 -3.0397305560535820E-01 a       523     0    21     1    23
 -3.1021778556620067E-01 a       524     0    21     1    24
 -2.3278063702860219E-01 a       525     0    21     1    25
  2.4582948347346215E-02 a       526     0    22     1     1
  2.1967387933623833E-01 a       527     0    22     1     2
  9.3499576743394971E-02 a       528     0    22     1     3
  1.9781876194603358E-02 a       529     0    22     1     4
 -5.3618329047377275E-02 a       530     0    22     1     5
  5.4877131991785816E-02 a       531     0    22     1     6
 -1.5626546980844449E-02 a       532     0    22     1     7
  2.0442181263175027E-01 a       533     0    22     1     8
  7.4475813909920793E-02 a       534     0    22     1     9
 -7.2913655228490248E-02 a       535     0    22     1    10
  1.6825250573183875E-01 a       536     0    22     1    11
 -5.9496027669805378E-02 a       537     0    22     1    12
 -3.9829925080960851E-02 a       538     0    22     1    13
 -3.0025899670094203E-01 a       539     0    22     1    14
  4.1612852888389035E-02 a       540     0    22     1    15
 -2.4525083363255035E-01 a       541     0    22     1    16
 -4.6867657765642551E-01 a       542     0    22     1    17
  2.8090344355142710E-01 a       543     0    22     1    18
  5.4009784132633021E-02 a       544     0    22     1    19
 -2.3962339278980979E-01 a       545     0    22     1    20
  4.2761670700912774E-02 a       546     0    22     1    21
  1.5300033730437723E-01 a       547     0    22     1    22
 -2.1439361290764178E-01 a       548     0    22     1    23
 -7.5904216206704275E-02 a       549     0    22     1    24
  7.4238875039098817E-02 a       550     0    22     1    25
 -1.9207293760475933E-01 a       551     0    23     1     1
  1.1369831121009371E-02 a       552     0    23     1     2
  2.9929674029814979E-01 a       553     0    23     1     3
 -1.0847086515925994E-01 a       554     0    23     1     4
  2.1486617748958906E-01 a       555     0    23     1     5
  5.5559579608732000E-02 a       556     0    23     1     6
  4.3643934651818855E-01 a       557     0    23     1     7
 -3.2331255065375536E-01 a       558     0    23     1     8
 -2.0055519510604877E-01 a       559     0    23     1     9
 -2.1007824673015524E-01 a       560     0    23     1    10
 -3.3951613821206372E-01 a       561     0    23     1    11
  7.1918233769249981E-03 a       562     0    23     1    12
 -3.3799179377219235E-01 a       563     0    23     1    13
  1.5709781504495640E-01 a       564     0    23     1    14
  4.5965101698081118E-03 a       565     0    23     1    15
 -1.3156286540683632E-01 a       566     0    23     1    16
 -1.0533379944905380E-01 a       567     0    23     1    17
 -1.5958102021477974E-01 a       568     0    23     1    18
  3.3645538508671380E-01 a       569     0    23     1    19
  2.7726622203739931E-01 a       570     0    23     1    20
 -9.4661975678691668E-02 a       571     0    23     1    21
 -9.5181993454416108E-02 a       572     0    23     1    22
  2.3725011116305392E-01 a       573     0    23     1    23
 -1.6073881738791035E-01 a       574     0    23     1    24
  1.4564292702183040E-01 a       575     0    23     1    25
 -1.0326428224928287E-01 a       576     0    24     1     1
  1.7582249551585803E-02 a       577     0    24     1     2
 -3.2735426755092327E-02 a       578     0    24     1     3
  4.9535774722863618E-01 a       579     0    24     1     4
 -2.2800779066735269E-01 a       580     0    24     1     5
 -2.2500588055351725E-01 a       581     0    24     1     6
  2.5175048894579277E-01 a       582     0    24     1     7
  2.3848751890568221E-01 a       583     0    24     1     8
  1.7336839067971890E-01 a       584     0    24     1     9
  1.5003000685762796E-01 a       585     0    24     1    10
  1.9966073267074574E-01 a       586     0    24     1    11
 -3.0749983408815468E-01 a       587     0    24     1    12
 -2.8118078724595191E-03 a       588     0    24     1    13
  3.5671073482115029E-01 a       589     0    24     1    14
  3.4314003132863402E-01 a       590     0    24     1    15
 -5.3421841129512204E-01 a       591     0    24     1    16
 -2.4162456687328407E-01 a       592     0    24     1    17
  5.7590141121048799E-03 a       593     0    24     1    18
 -1.2223740190314028E-01 a       594     0    24     1    19
  1.0075368840880433E-01 a       595     0    24     1    20
  7.2961267402529673E-02 a       596     0    24     1    21
 -2.5932390533360972E-01 a       597     0    24     1    22
 -4.7278830165019237E-01 a       598     0    24     1    23
 -2.1285356036017047E-01 a       599     0    24     1    24
 -3.0359628372795333E-01 a       600     0    24     1    25
  3.6908326961210675E-01 a       601     0    25     1     1
  2.9511130061777074E-01 a       602     0    25     1     2
 -2.4883663467907599E-01 a       603     0    25     1     3
 -4.1940514084593300E-01 a       604     0    25     1     4
 -3.4941642850199300E-01 a       605     0    25     1     5
  6.4988803202399015E-01 a       606     0    25     1     6
 -4.7490751004399767E-01 a       607     0    25     1     7
  4.4016237901805616E-01 a       608     0    25     1     8
  2.5498794951101461E-03 a       609     0    25     1     9
  1.2786426848135310E-01 a       610     0    25     1    10
  4.5085612803684066E-01 a       611     0    25     1    11
 -4.4924056320827917E-02 a       612     0    25     1    12
  5.7730504228800350E-01 a       613     0    25     1    13
 -2.2381991544677010E-01 a       614     0    25     1    14
 -3.4190599108629638E-01 a       615     0    25     1    15
  1.1116689576731917E-01 a       616     0    25     1    16
 -4.3494883735038271E-02 a       617     0    25     1    17
 -4.9537811934329795E-02 a       618     0    25     1    18
 -3.0380766315182866E-02 a       619     0    25     1    19
  8.0239102432368235E-03 a       620     0    25     1    20
  1.4112680643169365E-01 a       621     0    25     1    21
  1.6856962666670589E-01 a       622     0    25     1    22
  2.2711758782446290E-01 a       623     0    25     1    23
 -5.5648627517036320E-01 a       624     0    25     1    24
 -3.0352019488964299E-01 a       625     0    25     1    25
 -1.1424921250649347E-01 a       626     0    26     1     1
 -1.9997417184967597E-02 a       627     0    26     1     2
 -1.2552793543281918E-01 a       628     0    26     1     3
  3.9842991761763147E-02 a       629     0    26     1     4
  7.2065812490028164E-02 a       630     0    26     1     5
 -5.2103114419480130E-02 a       631     0    26     1     6
  1.2779536724602714E-01 a       632     0    26     1     7
  2.4217368503574024E-01 a       633     0    26     1     8
 -3.3906826781054977E-01 a       634     0    26     1     9
 -4.6403884842626565E-02 a       635     0    26     1    10
 -1.7854347664105735E-01 a       636     0    26     1    11
  1.3481375985078634E-01 a       637     0    26     1    12
  2.3502100739770976E-01 a       638     0    26     1    13
  2.0103161542543252E-01 a       639     0    26     1    14
  1.3602461624838172E-01 a       640     0    26     1    15
  8.0604141506323224E-02 a       641     0    26     1    16
  1.6225073611609978E-01 a       642     0    26     1    17
  5.0810674737359084E-02 a       643     0    26     1    18
  2.3023441810543868E-01 a       644     0    26     1    19
 -8.5702731740950014E-02 a       645     0    26     1    20
  2.4611210266581257E-01 a       646     0    26     1    21
  8.7455842202893916E-03 a       647     0    26     1    22
  2.0722627581171285E-02 a       648     0    26     1    23
 -4.7820957068426505E-03 a       649     0    26     1    24
 -1.2187292912336188E-01 a       650     0    26     1    25
  3.7148308110636769E-01 a       651     0    27     1     1
 -2.2360837158745925E-01 a       652     0    27     1     2
  1.4902383678313649E-01 a       653     0    27     1     3
 -4.1142541488918666E-01 a       654     0    27     1     4
 -1.0330856172987556E-01 a       655     0    27     1     5
  6.0314711367116902E-01 a       656     0    27     1     6
  9.4406226515849989E-01 a       657     0    27     1     7
 -3.4851131455898182E-01 a       658     0    27     1     8
 -1.0468053972520978E-01 a       659     0    27     1     9
  1.7308929998796956E-02 a       660     0    27     1    10
 -6.2383056890150634E-01 a       661     0    27     1    11
 -1.4418525524494924E-01 a       662     0    27     1    12
 -2.3714580076385264E-01 a       663     0    27     1    13
 -2.1150919655188893E-01 a       664     0    27     1    14
 -6.3296855588755208E-01 a       665     0    27     1    15
 -3.3911603451376487E-01 a       666     0    27     1    16
  2.5887291249115607E-01 a       667     0    27     1    17
 -4.0701639390487493E-01 a       668     0    27     1    18
  1.7509429867201090E-01 a       669     0    27     1    19
 -8.0182300320220878E-01 a       670     0    27     1    20
 -1.9028835883785913E-02 a       671     0    27     1    21
  4.4535425856706196E-01 a       672     0    27     1    22
  9.2580220677491748E-02 a       673     0    27     1    23
 -2.8725335368558308E-01 a       674     0    27     1    24
 -1.4642103940415002E-01 a       675     0    27     1    25
  4.4446244222533576E-01 a       676     0    28     1     1
 -6.0737104717276786E-04 a       677     0    28     1     2
 -8.9090069452001916E-02 a       678     0    28     1     3
 -5.3696961563833767E-01 a       679     0    28     1     4
  4.6719830628536729E-01 a       680     0    28     1     5
 -1.1833378582372978E-01 a       681     0    28     1     6
  2.6191475183148843E-01 a       682     0    28     1     7
 -5.7037776980702770E-01 a       683     0    28     1     8
  7.1690308031966285E-02 a       684     0    28     1     9
  2.8398027617873506E-01 a       685     0    28     1    10
 -3.6743194228460652E-01 a       686     0    28     1    11
 -3.1895008680293080E-01 a       687     0    28     1    12
 -1.0361483312804106E-03 a       688     0    28     1    13
 -4.8638481419610713E-01 a       689     0    28     1    14
 -6.9962843884648085E-01 a       690     0    28     1    15
 -8.1072201255034573E-02 a       691     0    28     1    16
 -6.2311272111084359E-01 a       692     0    28     1    17
  7.7472111871429250E-01 a       693     0    28     1    18
 -1.4548580048743617E-01 a       694     0    28     1    19
 -3.1041704724955310E-01 a       695     0    28     1    20
  2.6182932213476906E-01 a       696     0    28     1    21
  6.9399416363323904E-02 a       697     0    28     1    22
 -4.4697721303376320E-01 a       698     0    28     1    23
  3.6327758491590778E-01 a       699     0    28     1    24
  1.4509941627766991E-02 a       700     0    28     1    25
 -2.9391473089319686E-01 a       701     0    29     1     1
  3.6791408923058788E-01 a       702     0    29     1     2
  4.3711045745433563E-01 a       703     0    29     1     3
 -1.0916033226817520E-01 a       704     0    29     1     4
 -1.6052635091681186E-01 a       705     0    29     1     5
  6.5553383989954761E-01 a       706     0    29     1     6
 -1.0173523762437940E-01 a       707     0    29     1     7
  3.8514703127768868E-01 a       708     0    29     1     8
 -2.3003336644787362E-01 a       709     0    29     1     9
 -2.7755798500274926E-03 a       710     0    29     1    10
  4.1006677070396763E-01 a       711     0    29     1    11
  1.0897238283636329E-01 a       712     0    29     1    12
  8.3264198193912264E-01 a       713     0    29     1    13
  3.1171907213974076E-01 a       714     0    29     1    14
 -1.5195077214700681E-01 a       715     0    29     1    15
  3.4858331511827945E-01 a       716     0    29     1    16
  6.5374222539493476E-01 a       717     0    29     1    17
 -5.2128802674111874E-01 a       718     0    29     1    18
  2.6640708714363102E-02 a       719     0    29     1    19
 -4.8028982610470611E-01 a       720     0    29     1    20
 -2.1774579604919922E-02 a       721     0    29     1    21
  3.2182202090553769E-01 a       722     0    29     1    22
  1.0931209170113289E-01 a       723     0    29     1    23
 -1.7702428339290771E-01 a       724     0    29     1    24
  2.0442818916211991E-01 a       725     0    29     1    25
 -3.5996786639715735E-02 a       726     0    30     1     1
  1.3930119752209622E-01 a       727     0    30     1     2
 -2.2841536808137278E-01 a       728     0    30     1     3
 -3.8858383379350975E-01 a       729     0    30     1     4
 -3.5389125434506774E-01 a       730     0    30     1     5
 -3.3019657481277476E-01 a       731     0    30     1     6
 -3.6879093209911402E-02 a       732     0    30     1     7
 -2.4364698054656070E-01 a       733     0    30     1     8
 -2.6043609821745406E-01 a       734     0    30     1     9
  1.5559975373125415E-01 a       735     0    30     1    10
 -3.3208262786966702E-03 a       736     0    30     1    11
  4.1855394179581901E-01 a       737     0    30     1    12
  3.5177965477483523E-02 a       738     0    30     1    13
  9.6159784515495228E-02 a       739     0    30     1    14
 -2.1483966685568048E-01 a       740     0    30     1    15
 -1.6413008463852646E-01 a       741     0    30     1    16
  3.4535004295331878E-01 a       742     0    30     1    17
 -3.2711256983225724E-02 a       743     0    30     1    18
  4.3071923398090600E-01 a       744     0    30     1    19
  5.0283289175316333E-02 a       745     0    30     1    20
  1.0309955506155609E-01 a       746     0    30     1    21
 -6.2239179539250444E-01 a       747     0    30     1    22
 -2.4741579847638212E-01 a       748     0    30     1    23
  7.0731094699984065E-02 a       749     0    30     1    24
 -3.6724413165217149E-03 a       750     0    30     1    25
  1.0447716398765829E+00 a       751     0    31     1     1
 -6.1807277967739160E-02 a       752     0    31     1     2
 -9.1758737258571277E-01 a       753     0    31     1     3
  1.5007848574584298E-01 a       754     0    31     1     4
 -4.3591825684164948E-01 a       755     0    31     1     5
 -6.7026936245966662E-01 a       756     0    31     1     6
  5.3411873303084878E-01 a       757     0    31     1     7
 -1.4151809679427846E-01 a       758     0    31     1     8
 -4.3276948255581227E-01 a       759     0    31     1     9
 -4.0052853874978318E-02 a       760     0    31     1    10
 -8.3783221998849977E-01 a       761     0    31     1    11
 -1.1632881980267522E+00 a       762     0    31     1    12
  1.1370885686133010E+00 a       763     0    31     1    13
 -1.3085674216303383E-01 a       764     0    31     1    14
  1.3333489995146869E-01 a       765     0    31     1    15
 -4.1202597744140440E-01 a       766     0    31     1    16
 -9.7277437987407567E-01 a       767     0    31     1    17
  8.9833279421612722E-01 a       768     0    31     1    18
  8.0507386706586470E-01 a       769     0    31     1    19
  1.1441847804001891E-01 a       770     0    31     1    20
  3.5272513558946761E-01 a       771     0    31     1    21
  5.4356761971336143E-01 a       772     0    31     1    22
  3.1794582294483775E-01 a       773     0    31     1    23
  6.7654536169458282E-02 a       774     0    31     1    24
 -4.3902733003931138E-01 a       775     0    31     1    25
 -9.2670450313606634E-01 a       776     0    32     1     1
  1.0344258512448470E-01 a       777     0    32     1     2
  4.2135090507470002E-01 a       778     0    32     1     3
 -4.6701558841535923E-01 a       779     0    32     1     4
 -6.3581003519666379E-01 a       780     0    32     1     5
  1.6041152011626278E+00 a       781     0    32     1     6
 -6.0049008738503229E-01 a       782     0    32     1     7
 -2.5934665518529021E-01 a       783     0    32     1     8
  3.5867539993719605E-01 a       784     0    32     1     9
  4.2076130956867419E-01 a       785     0    32     1    10
  9.0859834161183251E-01 a       786     0    32     1    11
  7.8746595257726026E-01 a       787     0    32     1    12
 -1.1082878501885212E+00 a       788     0    32     1    13
  8.1270087475369390E-01 a       789     0    32     1    14
  4.1158938496053876E-01 a       790     0    32     1    15
  6.9058026724736132E-01 a       791     0    32     1    16
  1.1399190356008300E+00 a       792     0    32     1    17
 -9.2381442479554909E-01 a       793     0    32     1    18
  1.4284312346728911E-03 a       794     0    32     1    19
  2.9464738965877507E-02 a       795     0    32     1    20
 -1.3506152704172389E+00 a       796     0    32     1    21
 -2.9388460496875918E-01 a       797     0    32     1    22
 -9.7877952767241122E-02 a       798     0    32     1    23
 -1.1814403534712850E+00 a       799     0    32     1    24
  1.4743978905570367E+00 a       800     0    32     1    25
  4.3083756849867166E-01 a       801     0    33     1     1
 -3.7741529438201338E-01 a       802     0    33     1     2
  5.0781107395117575E-01 a       803     0    33     1     3
  6.0835842543086283E-01 a       804     0    33     1     4
 -1.5002824938956152E-01 a       805     0    33     1     5
 -2.4312275851776000E-01 a       806     0    33     1     6
  4.8988511225676344E-02 a       807     0    33     1     7
  8.2284413438858339E-02 a       808     0    33     1     8
  4.8250890534298013E-01 a       809     0    33     1     9
  1.1269097208451768E-01 a       810     0    33     1    10
  7.7157409616669481E-01 a       811     0    33     1    11
  4.1302491903090849E-01 a       812     0    33     1    12
  2.4631446083491176E-01 a       813     0    33     1    13
  2.3709640658636419E-01 a       814     0    33     1    14
 -4.3180491771343993E-01 a       815     0    33     1    15
 -3.2057275299386473E-01 a       816     0    33     1    16
  2.2115806201615554E-01 a       817     0    33     1    17
 -3.9976610576337090E-01 a       818     0    33     1    18
 -2.7003640079458252E-01 a       819     0    33     1    19
  1.1088506522856881E-02 a       820     0    33     1    20
  1.2909943715742661E-01 a       821     0    33     1    21
  2.1267907558458632E-01 a       822     0    33     1    22
  2.2146384952717463E-01 a       823     0    33     1    23
  1.0703695018952299E-01 a       824     0    33     1    24
  5.1249689445487710E-02 a       825     0    33     1    25
 -2.8235011120016718E-01 a       826     0    34     1     1
 -2.7092425763676048E-01 a       827     0    34     1     2
 -4.1002101001960811E-01 a       828     0    34     1     3
 -9.2503872193499337E-01 a       829     0    34     1     4
 -6.2723968854287115E-01 a       830     0    34     1     5
  1.3821885834706893E+00 a       831     0    34     1     6
 -4.1181095171988147E-01 a       832     0    34     1     7
  1.8302699432955880E-01 a       833     0    34     1     8
  1.2996954440092288E+00 a       834     0    34     1     9
  9.8830884965650878E-01 a       835     0    34     1    10
 -3.3427039839782724E-01 a       836     0    34     1    11
 -5.4045440209352391E-01 a       837     0    34     1    12
 -1.4297627715829800E-01 a       838     0    34     1    13
 -2.3910426739856397E-01 a       839     0    34     1    14
  5.9170621513464139E-01 a       840     0    34     1    15
  3.0089528929661680E-01 a       841     0    34     1    16
  3.7508225631765074E-01 a       842     0    34     1    17
 -8.9102802760604072E-01 a       843     0    34     1    18
  3.0969520478537373E-02 a       844     0    34     1    19
 -2.1908761836811058E-01 a       845     0    34     1    20
 -1.5289716724781797E+00 a       846     0    34     1    21
 -4.0183339031137733E-01 a       847     0    34     1    22
  9.5144130686946091E-02 a       848     0    34     1    23
 -4.0112379075605814E-01 a       849     0    34     1    24
  6.9133433939745315E-01 a       850     0    34     1    25
  1.4824252005136427E+00 a       851     0    35     1     1
  1.3505716009470245E-01 a       852     0    35     1     2
 -1.9333544487648116E-01 a       853     0    35     1     3
  1.1504024974168117E+00 a       854     0    35     1     4
  1.1362104546673599E+00 a       855     0    35     1     5
 -1.9913098190412382E+00 a       856     0    35     1     6
  9.1601203915727680E-01 a       857     0    35     1     7
  5.6937087691514110E-01 a       858     0    35     1     8
 -9.3102313923001523E-01 a       859     0    35     1     9
 -1.0494560760549114E+00 a       860     0    35     1    10
 -9.7431219792602788E-02 a       861     0    35     1    11
 -1.2607936855850475E+00 a       862     0    35     1    12
  1.0257025826779662E+00 a       863     0    35     1    13
 -8.8573504893818689E-01 a       864     0    35     1    14
 -1.0073605883793078E+00 a       865     0    35     1    15
 -1.0549434530484050E+00 a       866     0    35     1    16
 -1.1494698627575890E+00 a       867     0    35     1    17
  1.6648554741389971E+00 a       868     0    35     1    18
  3.5928232406618199E-01 a       869     0    35     1    19
 -1.6427247250354174E-01 a       870     0    35     1    20
  1.2672580990706259E+00 a       871     0    35     1    21
  4.0363188453286708E-01 a       872     0    35     1    22
 -3.2488197551506359E-01 a       873     0    35     1    23
  1.0380839194199032E+00 a       874     0    35     1    24
 -7.5940254855774370E-01 a       875     0    35     1    25
 -1.2733682746775292E+00 a       876     0    36     1     1
  2.3077405955660824E-01 a       877     0    36     1     2
  3.0576659565870740E-01 a       878     0    36     1     3
  1.5889167820731201E-02 a       879     0    36     1     4
 -3.4123288610465852E-01 a       880     0    36     1     5
  6.8913007305370555E-01 a       881     0    36     1     6
 -3.1867241683131081E-01 a       882     0    36     1     7
 -2.7443311917650226E-01 a       883     0    36     1     8
  3.9576993665284105E-01 a       884     0    36     1     9
  7.2438506127628122E-01 a       885     0    36     1    10
  3.1568207528202324E-01 a       886     0    36     1    11
  8.5353585512136743E-01 a       887     0    36     1    12
 -8.2209732508208344E-01 a       888     0    36     1    13
  9.0990457862200758E-01 a       889     0    36     1    14
  7.5865995636178851E-01 a       890     0    36     1    15
  7.9130846718719816E-01 a       891     0    36     1    16
  4.3821567179794868E-01 a       892     0    36     1    17
 -7.4789193282214350E-01 a       893     0    36     1    18
  1.3690132340084496E-01 a       894     0    36     1    19
  1.1465748019709766E-01 a       895     0    36     1    20
 -2.6457216351435431E-01 a       896     0    36     1    21
  2.2453367367844829E-02 a       897     0    36     1    22
  2.4780281081818539E-01 a       898     0    36     1    23
 -5.1405437167117385E-01 a       899     0    36     1    24
  1.7541211709346632E-01 a       900     0    36     1    25
 -7.3039142241068300E-01 a       901     0    37     1     1
  1.2911720457924521E-02 a       902     0    37     1     2
 -1.8100702400284241E-01 a       903     0    37     1     3
  3.2567437071918748E-01 a       904     0    37     1     4
 -1.2478653009139613E-01 a       905     0    37     1     5
 -1.5981139019668811E-01 a       906     0    37     1     6
  2.7700826586679944E-01 a       907     0    37     1     7
  2.0793380293058489E-01 a       908     0    37     1     8
 -1.6445457148819950E-01 a       909     0    37     1     9
  6.1408070234981030E-02 a       910     0    37     1    10
  5.8332777022001958E-02 a       911     0    37     1    11
  4.8178386197492068E-01 a       912     0    37     1    12
 -2.5950601505892607E-01 a       913     0    37     1    13
 -2.3127024636043983E-01 a       914     0    37     1    14
  5.8552519537831105E-01 a       915     0    37     1    15
 -6.4830834183718836E-02 a       916     0    37     1    16
 -2.9568529173825367E-02 a       917     0    37     1    17
  4.1090533793552597E-01 a       918     0    37     1    18
  1.1019541916784528E-02 a       919     0    37     1    19
  5.0678366432429811E-01 a       920     0    37     1    20
  1.8307078889438014E-01 a       921     0    37     1    21
 -3.3729755054617422E-01 a       922     0    37     1    22
  2.9355832688237573E-02 a       923     0    37     1    23
  4.0217691240054049E-01 a       924     0    37     1    24
 -8.9538261350277787E-02 a       925     0    37     1    25
  8.0612874979742266E-01 a       926     0    38     1     1
  2.5144996357272315E-01 a       927     0    38     1     2
 -4.0320910448516278E-01 a       928     0    38     1     3
 -3.6884790512770027E-01 a       929     0    38     1     4
 -6.6429224531202712E-03 a       930     0    38     1     5
  1.7223392691293499E-01 a       931     0    38     1     6
 -2.6812876017259860E-02 a       932     0    38     1     7
 -1.7049618395270141E-01 a       933     0    38     1     8
 -1.4376043316449222E-01 a       934     0    38     1     9
 -2.5708056253088213E-01 a       935     0    38     1    10
 -1.4426652247205649E-03 a       936     0    38     1    11
 -5.1440407312436487E-01 a       937     0    38     1    12
 -2.8932331526835381E-01 a       938     0    38     1    13
  1.3760947373436030E-01 a       939     0    38     1    14
 -3.5528639227511799E-01 a       940     0    38     1    15
 -6.9927771546312908E-03 a       941     0    38     1    16
  1.2558084792758467E-01 a       942     0    38     1    17
  4.3228271768563370E-01 a       943     0    38     1    18
 -6.7774076746557707E-02 a       944     0    38     1    19
  5.6933846698345288E-02 a       945     0    38     1    20
  3.4128281838804764E-01 a       946     0    38     1    21
  2.0905614791289828E-01 a       947     0    38     1    22
  4.3687541342728609E-01 a       948     0    38     1    23
  2.3491370364456987E-01 a       949     0    38     1    24
  1.8659316053554401E-01 a       950     0    38     1    25
  2.9763878784251441E-01 a       951     0    39     1     1
  3.2813960144555387E-01 a       952     0    39     1     2
 -4.6057803131106195E-01 a       953     0    39     1     3
  3.8318234835785575E-01 a       954     0    39     1     4
  7.2376661758674458E-03 a       955     0    39     1     5
 -7.1812456817410986E-01 a       956     0    39     1     6
  2.2863130675408513E-01 a       957     0    39     1     7
  3.5863196742634978E-01 a       958     0    39     1     8
 -5.9201149613069570E-01 a       959     0    39     1     9
 -2.1532227657949277E-01 a       960     0    39     1    10
  7.0523459236792069E-02 a       961     0    39     1    11
 -6.2036490225999705E-02 a       962     0    39     1    12
  2.5918853725329821E-01 a       963     0    39     1    13
 -5.5472628532192814E-02 a       964     0    39     1    14
 -4.7012694365540530E-01 a       965     0    39     1    15
 -1.6594978825329779E-01 a       966     0    39     1    16
 -5.8576124626442211E-02 a       967     0    39     1    17
  4.7007797888048408E-01 a       968     0    39     1    18
  2.6921337239985393E-01 a       969     0    39     1    19
 -3.7402712286969220E-01 a       970     0    39     1    20
  8.0649758466811228E-01 a       971     0    39     1    21
  7.5353556013510584E-02 a       972     0    39     1    22
  6.4764108496173270E-02 a       973     0    39     1    23
  3.5770352737146682E-01 a       974     0    39     1    24
 -1.9320276543955081E-01 a       975     0    39     1    25
 -2.7484902782647219E-01 a       976     0    40     1     1
 -2.5813720981572027E-02 a       977     0    40     1     2
  3.3807011607178195E-02 a       978     0    40     1     3
  5.1798261546262458E-01 a       979     0    40     1     4
  5.2582071924292439E-01 a       980     0    40     1     5
 -4.6036994567531431E-01 a       981     0    40     1     6
 -2.7628226095052094E-01 a       982     0    40     1     7
  7.9069709840588476E-02 a       983     0    40     1     8
  1.3346311304988956E-01 a       984     0    40     1     9
 -6.2114767531508297E-01 a       985     0    40     1    10
 -1.4588060239972675E-01 a       986     0    40     1    11
  6.8621257868596786E-01 a       987     0    40     1    12
  6.2436837337010709E-01 a       988     0    40     1    13
 -2.7821025061723892E-01 a       989     0    40     1    14
 -1.5200528498810265E-01 a       990     0    40     1    15
 -1.5028841482244171E-01 a       991     0    40     1    16
 -1.6887081834187639E-01 a       992     0    40     1    17
  4.9792331554282060E-02 a       993     0    40     1    18
  1.1074652577846508E-02 a       994     0    40     1    19
  7.8169606005709519E-02 a       995     0    40     1    20
 -9.8902689595595644E-03 a       996     0    40     1    21
  3.9003962304628320E-03 a       997     0    40     1    22
 -5.7991156328353555E-01 a       998     0    40     1    23
  2.5548887601598815E-02 a       999     0    40     1    24
 -6.0440135354750790E-01 a      1000     0    40     1    25
 -3.7226362215241277E-01 a      1001     0    41     1     1
  7.3814158000827012E-03 a      1002     0    41     1     2
  5.5019482547498744E-01 a      1003     0    41     1     3
  2.9771955101835523E-01 a      1004     0    41     1     4
  2.1545445249364542E-01 a      1005     0    41     1     5
  1.4463467871229052E-01 a      1006     0    41     1     6
 -3.2848699883785493E-01 a      1007     0    41     1     7
  2.7457310894709732E-02 a      1008     0    41     1     8
  2.9806030357049140E-01 a      1009     0    41     1     9
  4.4256069960959869E-02 a      1010     0    41     1    10
 -1.2086054005223248E-01 a      1011     0    41     1    11
 -4.3272067222267362E-02 a      1012     0    41     1    12
 -5.7882781798519756E-01 a      1013     0    41     1    13
  4.4904019079866986E-01 a      1014     0    41     1    14
  6.0323565949243117E-02 a      1015     0    41     1    15
  3.4681110546319088E-02 a      1016     0    41     1    16
  2.8755539276933179E-01 a      1017     0    41     1    17
 -6.2216427163262145E-01 a      1018     0    41     1    18
 -9.2461121436297408E-02 a      1019     0    41     1    19
 -1.7554045558785197E-01 a      1020     0    41     1    20
  5.4600343965220906E-02 a      1021     0    41     1    21
 -1.4900617770764854E-01 a      1022     0    41     1    22
 -4.2878236576443124E-01 a      1023     0    41     1    23
  1.8889016395745303E-01 a      1024     0    41     1    24
 -1.1641752352598292E-01 a      1025     0    41     1    25
  4.3621526681685799E-02 a      1026     0    42     1     1
  4.5954993839210999E-02 a      1027     0    42     1     2
 -2.7015159350187795E-01 a      1028     0    42     1     3
 -7.5580715647513053E-01 a      1029     0    42     1     4
 -3.9129039257150949E-01 a      1030     0    42     1     5
  9.5038611408268836E-01 a      1031     0    42     1     6
 -6.5325510011745913E-01 a      1032     0    42     1     7
 -1.0024837924243438E-01 a      1033     0    42     1     8
 -1.0987066920892063E-01 a      1034     0    42     1     9
  4.7178716352385422E-02 a      1035     0    42     1    10
  6.3091341242194440E-02 a      1036     0    42     1    11
  2.1557741923433085E-01 a      1037     0    42     1    12
 -5.1383325915338918E-01 a      1038     0    42     1    13
  2.6780990023286011E-01 a      1039     0    42     1    14
 -7.9173902464663881E-02 a      1040     0    42     1    15
  8.0816502828618533E-02 a      1041     0    42     1    16
  5.8540474003905318E-01 a      1042     0    42     1    17
 -3.5771729102807914E-01 a      1043     0    42     1    18
 -2.9445969183246559E-02 a      1044     0    42     1    19
 -4.6573692380541354E-01 a      1045     0    42     1    20
 -4.7779825467781417E-01 a      1046     0    42     1    21
  2.1686213865952844E-01 a      1047     0    42     1    22
  4.5964776886214542E-01 a      1048     0    42     1    23
 -4.5064743591663170E-01 a      1049     0    42     1    24
